participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0479,R_2fdj3NnsouueLwj,Nonsense,Acting like silly buggers,,"Hey guys, you need to get some work done and stop acting like silly buggers","Work, at home",
A0480,R_2dXPo9dK7qyY3qD,Nonsense,crap,,He speaks crap,Often refers to politicians who lie,American word
A0481,R_WkYapgYJpAfj7nH,Nonsense,"bullshit, bull dust, bull, also crap",,Common usage in reverse order of euphemism,"Everywhere, along with words like bull-artist, bullshit artist",
A0482,R_8bSojXwhmmvNYbL,Nonsense,bullshit,,Don't give me that bullshit,"1960s - present, Sydney","Different from lying, bullshit endures because there is more if it than ever"
A0483,R_3hb9wbNf9PpYMjE,Nonsense,Drivel,,He speaks utter drivel,Everyday conversation,No
A0484,R_Q3uVMmHkYQBrAZz,Nonsense,"Waffle, Crap",,He's speaking a load of waffle (crap),Mostly crap,
A0485,R_3PaHWoy5PLCBvCg,Nonsense,Bullshit,,That's total bullshit and you know it.,"Everywhere, all the time.","It's one of many but the most common that I hear. My recent favourite however is shitfuckery, referring to a very particular kind of bullshit (see Juice Media)"
A0486,R_1laCsIbn2m9tDfh,Nonsense,ballderdash,,,,
A0487,R_BR0QcbPpN5te93j,Nonsense,bullshit,,They are really spouting a load of bullshit in the press conference today.,"Everywhere, all the time, all my life",
A0489,R_1Cr1O0Qvq3KxIqK,Nonsense,Crap,,What a load of crap,As a response to a question,
A0492,R_20URf7IAnPU1yGT,Nonsense,Bull,,He's talking bull,,
A0493,R_XENyg2nm1lgW3vj,Nonsense,Drivle/crap,,The crap that comes out of their mouth defies belief,At home,
A0494,R_3x8kscqVcrStdUl,Nonsense,A load of crap,,What he said is a load of crap,Everywhere,
A0496,R_2cdxjIAuZuPEkWF,Nonsense,"codswhallop,",,what a load of codswhallop,around,
A0498,R_3KJ8VYezZNJKXax,Nonsense,Bullshit,,,Australialands & international,
A0502,R_4H1yHx9zKGK6I9z,Nonsense,Goble-de-gook,,"I can't make any sense of this, it's just Goble-de-gook",all my life,no
A0503,R_rqLzxjK2vwL2t1v,Nonsense,Bullshit,,That's bullshit,Commonly,
