participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A1638,R_1o1EIwqIpfHUgg9,Very Bad,Sucks,,In response to a negative or unfortunate statement.. 'That sucks,In general and informal conversation,No
A1640,R_3e2dV7N8GgcOeNu,Very Bad,shithouse,,The food at the restaurant was shithouse,Many social occasions,No
A1641,R_1dNpzjLLK0MW4e7,Very Bad,Munted,,"You got here last, you have drive the munted gokart","1990, WA to present day NSW",I think the origin is NZ
A1643,R_1BR9MQUuiKKhBCt,Very Bad,Rat shit,,I can't believe that happened. Totally rat shit,Talking with friends,
A1646,R_1dADMM9m2y66I4D,Very Bad,Crapola,,,,
A1648,R_3oKJhA1EogP87sp,Very Bad,shocker,,What a shocker,To describe bad news,
A1649,R_2VBUWZUccL1r8Ri,Very Bad,Gross,,That meal was gross and I couldn't eat it,Regularly in our house,
A1652,R_To9TcYDiVR1skGB,Very Bad,Had the dick,,That engine has had the dick,Often in SA,
A1653,R_3Rwvds2zXVdAW1f,Very Bad,Goes down like a fart in a spacesuit (not popular). Perfect (used ironically),,Passionfruit wine would go down like a fart in a spacesuit at the wharfies' bar. Warm passionfruit wine? That'd be perfect.,First heard it 1980s. Common parlance still,
A1654,R_3UAyc1EOcOcbcgV,Very Bad,Ratshit,,,,
A1662,R_3q8LcMCJcSOTn2e,Very Bad,Stink'en rotten,,That party was stink'en rotten,More likely related to food going off; or relating to someone's behaviour,
A1664,R_21dLNIiAo76cnRn,Very Bad,Up shit creek and dog-shitted,,Forgot to pay my phone bill so I'm up shit creek. I dog-shitted that plastering job.,"Yesterday I heard ""dog-shitted""",
A1665,R_1CC3nKZvCEmvYon,Very Bad,Dog's breakfast,,He made a dog's breakfast of it.,When someone has done a bad job of something.,"Related to the idea that it's a mess, and maybe gross/disgusting."
A1666,R_21hd7kkZH1QV0uO,Very Bad,Wouldn't that tear the fork out of your nightie.,,Used when something goes unexpectedly wrong,It was my father's often used expression,There seem to be several quite similar expressions
A1667,R_esXlxZrKfTgl8l3,Very Bad,Shithouse,,Our team played a shithouse game,"Family, friends, pop culture",
A1668,R_1gjNFlEYEL4u64P,Very Bad,Rat,,Like a rat up a drainpipe,Describing someone who is not of good character,A dodgy character absconding from their responsibilities
A1669,R_1i4A2yQvTB1MXjK,Very Bad,Crappy,,It was crappy.,"More in later life in my 30's, the 1970's.",I would only use it amongst friends as it seems a bit impolite.
A1670,R_12aqCHH2k2MVhVR,Very Bad,Crook,,The weathers' crook,recently speaking to a farmer in Clunes,Also used to describer a person who is unwell
A1672,R_1rlvQ66icTHmO4S,Very Bad,royally fucked,,Queensland's state of origin chances are royally fucked.,ubiquitous,Very republican in a monarchist way.
A1673,R_QiFIt7Hov4knhGV,Very Bad,Shithouse,,That movie was shithouse!,Very recently. In the family,No
A1674,R_BXK6f9RvtGgrial,Very Bad,Dud,,That car's a dud,General useage,"Again, is probably a bit outdated now."
A1675,R_1oi3KedH3bRXswi,Very Bad,shit-house,,that was a shit-house effort/job,inner city melbourne and beyond to rural areas,
A1676,R_1Lj4qqT28Ki4J7d,Very Bad,God's country,,"Lives in Ipswich he does, god's country",At work,Usually used to describe a place that's very shit to live in
A1679,R_3OpuokrhYPekLEo,Very Bad,Upta,,That sanga was upta,Describing something or event,Shortened version of up to sh*t
A1680,R_2ttDtYZrbCtVwTD,Very Bad,gross,,,,
A1681,R_2WuGOdU0mXPXuW9,Very Bad,Shithouse,,It was a shit house show,Regular conversation,
A1682,R_1kYavkCLSaZ4t2x,Very Bad,crook,,he's really crook,"my father -- as a doctor, he would refer to a very sick person as ""really crook""","used as a noun, a ""crook"" is a criminal"
A1683,R_2cqiHUG7BBPsXv6,Very Bad,on the nose,,That dead sheep is getting very on the nose.,"Again, both in Junee and Temora.","When I was catching beach worms for bait, I used a burley, often a dead stingray that had washed up on the beach which I'd bury in the sandhills, until it was 'on the nose'! the beach. I would bury it in the sand dunes"
A1686,R_3RqfikhoXehbsGJ,Very Bad,a proper bastard,,It was a proper bastard of a job,from childhood,
A1688,R_27EiOM8kkOD8OBS,Very Bad,shocker,,It was a shocker,everyday when things go bad,Barry Crocker (what a shocker)
A1690,R_1hX9lxaSyN05Hpb,Very Bad,"""shithouse""",,Its a pretty shithouse job,"Relatively common, Victoria, Queensland","Possibly means bad because relating to excrement, and basic structures related with toileting"
A1691,R_3nIcCqgWH9S6BeJ,Very Bad,"fucked, shit",,the car won't start...thats fucked!,'My husband uses it when thigs are not working for him,
A1692,R_2tnhQxzgXnejnnx,Very Bad,Dodgy as all get out,,That bloke is as dodgy as all gat out.,WA,
A1693,R_2OO0USDw0N9tXbh,Very Bad,Crook,,,,
A1695,R_3EALW6VJptqo6pW,Very Bad,barry crocker,,he had a barry crocker of a game,often used in aussie sporting parlance,rhyming slang for shocker
A1697,R_1rHuQpKTXLBkdOx,Very Bad,Shithole,,That place is a shithole,Friend,
A1698,R_b42t5I6FSpoO4mZ,Very Bad,Heaps shit (it's the heaps part),,'That's heaps shit',I use it constantly,I always thought 'heaps' was universal in English-speaking countries until I moved to the UK and people commented on it
A1699,R_1MM0gfz4ExrQVaN,Very Bad,"""I've seen more people standing around a dead snake""",,"Following the auction of a substantial house where all bids were talent ""off the wall"", i.e. no bids.","In the auction rooms of Richardson and Wrench, Sydney.",Said by a country farmer/jockey/realestate salesman after the auction.
A1700,R_2qpFZkoJ6gwDKlJ,Very Bad,Crap,,That was a crap game of footy,I use it,It's pretty crap and may not be Aussie.
A1701,R_ZxUqiGLvCm9CmmB,Very Bad,Barry Crocker,,A shocker/something bad has happened/ bad day,Could tell you -it's just there - always has been.,
A1702,R_2TFBIBqZxhFJs5b,Very Bad,the pits,,This lockdown is the pits.,"My whole life, my mother especially.",
A1707,R_Q0z3aGtnTaSegOB,Very Bad,idiot,,idiot!,now and everywhere,no
A1710,R_25MFpfvCkZItNuN,Very Bad,shit,,that's shit mate,,
A1713,R_3M5KIcPGcKST40C,Very Bad,That's shit,,That's just shit mate,At work,no
A1714,R_1opxPC1inQ522rJ,Very Bad,Bugger,,Ahh bugger this,when someone is frustrated,
A1715,R_1IaAv78jHJr1H6h,Very Bad,bugger,,that was a bugger,my life,
